t_index    term   df
ac384699   bhuj   114
1569c497   bia   1
ff1b3301   biafran   2
34c61bde   biarritz   3
ee0533a3   bias   9
f03c86a5   bibl   7
bf00721d   biblic   1
a179a843   bicker   3
032cdac8   bicycl   5
7e020180   bid   55
3ee50205   bidanora   1
a724428d   big   93
80e3fa36   bigger   8
8e4a09a4   biggest   43
5da7c056   bigot   2
8b9b8597   bihari   12
338c4b0d   bilater   11
752fea5a   bilingu   1
69f0c3da   billboard   2
e7154db9   billet   1
9c345b55   billi   7
0a16e6b6   billionair   10
63eeb49e   billow   15
150b5920   biltera   1
5750335e   bimal   2
a8d48baf   bin   286
b3b3e24c   bind   5
740cd877   bindra   5
859ed0e4   bingaman   2
a13ccfb4   bingo   1
9fe5aeae   binocular   5
1fc94aab   bio   1
ca9e72aa   biogeneticist   1
69cdf2b9   biograph   3
a262a152   biographi   4
7d87d2b2   biolog   4
b9a471b1   bion   1
d5d7bf0a   bipartisan   2
a7826468   bipartisanship   1
5b4adf93   bird   9
91187661   birger   1
30b61fdc   birth   9
0e36698b   birthdai   8
1ded1dd0   birthmark   1
ddddb632   birthplac   1
3a05bb5c   biscuit   3
b847ed95   bishop   3
0ed910cc   bit   52
4ae8c872   bite   2
4b0a1f79   biter   1
160bd357   bitka   1
a00167c7   bitten   1
b4417abe   bitter   21
e3d7c78c   bitterli   10
ed4b960c   bittersweet   2
d7ff53c1   biw   1
e08ed1bb   bizarr   10
9944cd56   bjorn   1
cb9eb949   black   74
b3d49081   blacken   4
e8874a0c   blackmail   5
8ddfd85a   blackout   4
bb40f842   blade   2
e968db0d   blair   18
af76e801   blakemor   2
35c2a91a   blame   62
2e6f098d   blanchard   1
e849fb08   blanco   17
5180836c   bland   1
9897ba03   blanda   2
ec3dcc54   blank   3
ad9779bb   blanket   44
8048f49e   blankli   2
0e647fb7   blare   1
1563b62d   blast   220
6a2b4afc   blatant   2
5c27373d   blaze   6
45768761   bleach   2
492c5452   bleacher   1
d8b229ee   bleak   1
a9b1fbb2   bled   1
cc2e4293   bleed   3
ef9bd174   blemish   1
4d32e16b   blend   4
0c819334   bless   10
004ca9f3   blew   44
69e44662   blind   8
2b6cd3d4   blindli   5
d459095a   blink   3
df553458   blister   2
5dd93228   blitz   1
9e24a04e   blitzer   1
fe471f52   blizzard   5
23e90397   bloat   4
f13c0686   bloc   7
e111af43   block   120
53683918   blockad   20
38df8a0b   blocker   1
7dc14fa9   blocki   1
bd61d572   blokosso   2
7b0f9566   blond   6
a7ce8cb4   blood   39
64cbe32c   bloodbath   3
